#TYPE System.Management.Automation.PSCustomObject
"FixedVersion","CVSSScore","path","text","version","hasJNDI","Vulnerable","pomLocation","CVE","ComputerName","JNDILocation"
"False",,"C:\Program Files\VideoLAN\VLC\plugins\access\libbluray-awt-j2se-1.3.0.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files\VideoLAN\VLC\plugins\access\libbluray-j2se-1.3.0.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\access-bridge-32.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\access-bridge.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\cldrdata.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\dnsns.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\jaccess.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\jfxrt.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\localedata.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\nashorn.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\sunec.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\sunjce_provider.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\sunmscapi.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\sunpkcs11.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\ext\zipfs.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\security\policy\limited\local_policy.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\java\lib\security\policy\limited\US_export_policy.jar",,,"False","False",,,"USBLND0150",
