#TYPE System.Management.Automation.PSCustomObject
"FixedVersion","CVSSScore","path","text","Remediated","version","hasJNDI","Vulnerable","pomLocation","CVE","ComputerName","JNDILocation"
"False",,"C:\test\apache-log4j-2.17.1-bin\log4j-1.2-api-2.17.1-javadoc.jar",,,,"False","False",,,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-1.2-api-2.17.1-sources.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-1.2-api
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-1.2-api/pom.properties",,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-1.2-api-2.17.1.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-1.2-api
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-1.2-api/pom.properties",,"USBLND0150",
"False",,"C:\test\apache-log4j-2.17.1-bin\log4j-api-2.17.1-javadoc.jar",,,,"False","False",,,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-api-2.17.1-sources.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-api
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-api/pom.properties",,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-api-2.17.1.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-api
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-api/pom.properties",,"USBLND0150",
"False",,"C:\test\apache-log4j-2.17.1-bin\log4j-appserver-2.17.1-javadoc.jar",,,,"False","False",,,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-appserver-2.17.1-sources.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-appserver
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-appserver/pom.properties",,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-appserver-2.17.1.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-appserver
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-appserver/pom.properties",,"USBLND0150",
"False",,"C:\test\apache-log4j-2.17.1-bin\log4j-cassandra-2.17.1-javadoc.jar",,,,"False","False",,,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-cassandra-2.17.1-sources.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-cassandra
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-cassandra/pom.properties",,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-cassandra-2.17.1.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-cassandra
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-cassandra/pom.properties",,"USBLND0150",
"False",,"C:\test\apache-log4j-2.17.1-bin\log4j-core-2.17.1-javadoc.jar",,,,"False","False",,,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-core-2.17.1-sources.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-core
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-core/pom.properties",,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-core-2.17.1-tests.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-core
",,"version=2.17.1","False","False","META-INF/maven/org.apache.logging.log4j/log4j-core/pom.properties",,"USBLND0150",
"True",,"C:\test\apache-log4j-2.17.1-bin\log4j-core-2.17.1.jar","#Created by Apache Maven 3.8.4
version=2.17.1
groupId=org.apache.logging.log4j
artifactId=log4j-core
",,"version=2.17.1","True","False","META-INF/maven/org.apache.logging.log4j/log4j-core/pom.properties",,"USBLND0150","org/apache/logging/log4j/core/lookup/JndiLookup.class"
"False",,"C:\test\apache-log4j-2.17.1-bin\log4j-couchdb-2.17.1-javadoc.jar",,,,"False","False",,,"USBLND0150",
